"series","last","max","avg"
"pod=doctrine-demo-6f7d59bb5d-5jl54","0","0","0"
"pod=doctrine-demo-6f7d59bb5d-6bcqr","0","0","0"
"pod=doctrine-demo-6f7d59bb5d-gmpb2","0","0,0001","0"
"pod=doctrine-demo-6f7d59bb5d-xt7qd","0","0","0"
"pod=doctrine-demo-6f7d59bb5d-zhj6n","0","0,0003","0"
"pod=doctrine-demo-7f59449c44-vbzjg","0,0451","0,2513","0,0403"
"pod=doctrine-demo-b8d86f44-br2z6","0","0","0"
