"series","last","max","avg"
"pod=doctrine-demo-5794cf8554-655bt","0","0","0"
"pod=doctrine-demo-5794cf8554-sq7jq","0","0,0002","0,0001"
"pod=doctrine-demo-69f76d98d-2r9dv","0,048","0,1485","0,0483"
"pod=doctrine-demo-69f76d98d-sbcm8","0,0438","0,1435","0,0479"
"pod=doctrine-demo-6f7d59bb5d-6bcqr","0","0","0"
"pod=doctrine-demo-6f7d59bb5d-l477f","0","0,0001","0"
"pod=doctrine-demo-7f59449c44-vbzjg","0,0026","0,0497","0,0369"
"pod=doctrine-demo-b8d86f44-br2z6","0","0","0"
