"series","last","max","avg"
"code=500,resource=events,verb=PATCH","0","0","0"
"code=500,resource=events,verb=POST","0","0","0"
"code=500,resource=horizontalpodautoscalers,verb=PUT","0","0","0"
"code=500,resource=leases,verb=GET","0","0","0"
"code=500,resource=leases,verb=PUT","0","0","0"
"code=500,resource=pods,verb=PATCH","0","0","0"
"code=500,verb=GET","0","0,0077","0,0001"
"code=504,resource=leases,verb=PUT","0","0,0039","0"
